qid,type,query,gold_asin,gold_title,gold_ann,req,gap,original
46,直说,I need a full-coverage foundation that also has a pleasant scent — what do you recommend?,B00T6HFMUQ,Too Faced - Cocoa Powder Foundation - Medium Tan,a Powder Foundation - Me🔗B00T6HFMUQ [肤质:未标 | 妆效:未标 | 遮盖:中度遮瑕 | 质地:粉状 | 色号:自然;深色],soft=[] hard=[] finish=None cov=高遮瑕 form=None shade=None,coverage:高遮瑕→库=中度遮瑕 evid=✓,Full coverage and smells good!
47,直说,"I want a product that gives my skin a glowing, bright look and keeps it fresh all day — what do you ",B01MY4I0IA,"Full Coverage Cream Compact Foundation, Waterproof Long","e Cream Compact Foundation, 🔗B01MY4I0IA [肤质:未标 | 妆效:哑光 | 遮盖:高遮瑕 | 质地:乳霜 | 色号:白皙]",soft=[] hard=[] finish=光泽 cov=None form=None shade=None,finish:光泽→库=哑光 evid=✓,It makes my skin glow and bright...i looks always fresh every time i used it.
48,直说,"I have used a foundation for years that gives lovely coverage and a dewy glow, but when I travel to ",B01N2IBF2S,DHC Q10 Moisture Care Liquid Foundation EX in Natural O,sture Care Liquid Foundation 🔗B01N2IBF2S [肤质:未标 | 妆效:自然 | 遮盖:未标 | 质地:液体 | 色号:自然],soft=[] hard=[] finish=水光 cov=None form=None shade=None,finish:水光→库=自然 evid=✓,"Have used it for years, finding it to have lovely coverage and gives that dewy glow that we loose with age One exception is when I go to dry climates like out west and NOTHING helps"
49,直说,I need a foundation that gives a dewy skin look and is quick to apply for busy mornings — can you re,B07MNQH76V,CLIO Big Aurora Glow Cushion (004 GINGER),ora Glow Cushion (004 GINGER🔗B07MNQH76V [肤质:未标 | 妆效:光泽 | 遮盖:高遮瑕 | 质地:乳霜 | 色号:未标],soft=[] hard=[] finish=水光 cov=None form=None shade=None,finish:水光→库=光泽 evid=✓,"It came as expected, perfect dewy skin look.<br /><br />Good for busy morning routine makeup, with it’s huge puff you will only need a few touches to cover your whole face!"
51,直说,I need a foundation with light coverage — what do you recommend?,B089NJG212,AMOREPACIFIC Color Control Cushion Compact Broad Spectr,C Color Control Cushion Compa🔗B089NJG212 [肤质:中性 | 妆效:未标 | 遮盖:未标 | 质地:乳霜 | 色号:未标],soft=[] hard=[] finish=None cov=轻遮瑕 form=None shade=None,coverage:轻遮瑕→库=∅ evid=✓,It does provide light coverage
53,直说,My skin is dry and foundations usually look cakey on me — can you recommend something that goes on s,B01N7WZ2WB,Holika Holika Hard Cover Glow Foundation (06 Jella),ka Hard Cover Glow Foundation🔗B01N7WZ2WB [肤质:未标 | 妆效:光泽 | 遮盖:未标 | 质地:未标 | 色号:未标],soft=['干皮'] hard=[] finish=None cov=None form=None shade=None,soft:干皮→库=∅ evid=✓,"This did a pretty good job of going over my skin, most of the time foundations look cakey and dry me out- this one didn't, at all!"
54,直说,"I need a foundation that blends beautifully, gives full coverage, and leaves a dewy finish.",B000COKYTG,"Laura Mercier Silk Creme Foundation for Women, Sand Bei", Creme Foundation for 🔗B000COKYTG [肤质:中性;全肤质;干皮 | 妆效:未标 | 遮盖:未标 | 质地:未标 | 色号:自然],soft=[] hard=[] finish=水光 cov=高遮瑕 form=None shade=None,finish:水光→库=∅ evid=✓ || coverage:高遮瑕→库=∅ evid=✓,"This product blends beautifully, it gives full coverage and a dewy finish."
59,避雷,"I have dry skin and want a foundation that gives a hydrated, dewy look rather than a matte finish — ",B08KFFNKXL,IT Cosmetics Your Skin But Better Foundation + Skincare,Skin But Better Founda🔗B08KFFNKXL [肤质:全肤质 | 妆效:光泽 | 遮盖:未标 | 质地:乳霜 | 色号:白皙;自然;冷调],soft=['干皮'] hard=[] finish=水光 cov=None form=None shade=None,finish:水光→库=光泽 evid=✓,It is not matte so it gives a more hydrated look than some other IT foundations.
60,避雷,I have sensitive skin and need a medium-coverage foundation that won't irritate it.,B00QHB2J2S,Max Factor Panstik Foundation - 12 True Beige (4 Pack),Panstik Foundation - 12 True 🔗B00QHB2J2S [肤质:未标 | 妆效:未标 | 遮盖:未标 | 质地:棒状 | 色号:自然],soft=[] hard=['敏感肌'] finish=None cov=中度遮瑕 form=None shade=None,hard:敏感肌→库=∅ evid=✓ || coverage:中度遮瑕→库=∅ evid=✗,"good foundation, med coverage, does not bother my sensitive skin."
61,避雷,I have quite sensitive skin — can you recommend something light and soothing that won’t irritate it?,B06Y4WP8SR,Gressa Skin - Natural Minimalist Corrective Serum Found, - Natural Minimalist Correct🔗B06Y4WP8SR [肤质:未标 | 妆效:自然 | 遮盖:未标 | 质地:未标 | 色号:自然],soft=[] hard=['敏感肌'] finish=None cov=None form=None shade=None,hard:敏感肌→库=∅ evid=✓,I have quite sensitive skin and this product is light and soothing.
