id,query,query_zh,query_type,complexity,intent,check_reason,gold_primary,gold_extras,gold_negative,p_score,e_score,n_score
2,Lightweight powder that eliminates shine.,轻薄的粉状粉底，能去油光的。,直说,short,质地;控油,全 5 分对照题——确认自动 gold 在「稳赢题」也站得住（给整体 gold 背书）,Estee Lauder Double Wear Stay-in-Place（B0BB9HNWT7）[质地:粉状 | 肤质:中性;油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙;自然],Mirenesse Skin Clone Mineral Powder Fo（B00LTFW9XQ）[质地:粉状 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:未标]；Mary Kay Mineral Powder Foundation 0.2（B07BD4QNJ5）[质地:粉状 | 肤质:敏感肌 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙],VELY VELY Aura Glow Cushion 17g (23 Na（B078WPTL1Z）[质地:气垫 | 肤质:未标 | 妆效:光泽 | 遮瑕:未标 | 色号:自然]；[Missha] Glow Tension No. 21 (LINE FRI（B07KHGF8WX）[质地:未标 | 肤质:未标 | 妆效:光泽 | 遮瑕:未标 | 色号:未标],5.0,5.0,5.0
3,I'm over 60 and my skin is blotchy and I need something that will give full coverage.,我60多岁了，皮肤有泛红斑驳，需要高遮瑕的。,直说,medium,遮盖力;熟龄肌,你质疑过「没答色号直接判断白皙」——确认 gold primary 是否合理,Clinique Redness Solutions Makeup Foun（B01N1UUETU）[质地:液体 | 肤质:未标 | 妆效:未标 | 遮瑕:高遮瑕 | 色号:白皙],Tarte Amazonian Clay Full Coverage 12 （B0155OPXT8）[质地:乳霜 | 肤质:全肤质 | 妆效:未标 | 遮瑕:高遮瑕 | 色号:白皙;冷调],Femme Couture Get Flawless Light 8 in （B00I6JM2ZS）[质地:乳霜 | 肤质:未标 | 妆效:未标 | 遮瑕:轻遮瑕 | 色号:白皙]；Estee Lauder Double Wear Stay-in-Place（B0BB9HNWT7）[质地:粉状 | 肤质:中性;油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙;自然],4.0,4.0,4.0
8,"Looking for even coverage that feels light and lasts all day, doesn't streak and settle into pores.",想要均匀遮盖、轻薄、持妆一整天，不卡粉、不stripe、不填毛孔的。,避雷,medium,遮盖力;质地肤感;持妆,低分题（P/E=3）——确认 gold 对否，区分「gold 错」vs「引擎排错」,(3 Pack) RIMMEL LONDON Stay Matte Liqu（B00J1OIDZ0）[质地:液体 | 肤质:油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然],Mirenesse Skin Clone Mineral Powder Fo（B00LTFW9XQ）[质地:粉状 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:未标],"Myconos Magic BB CC Moist Air Cushion （B019BCAMT6）[质地:乳霜 | 肤质:未标 | 妆效:光泽 | 遮瑕:未标 | 色号:未标]；[KLAIRS] Mochi BB Cushion Pact, cushio（B01L1Y3OOC）[质地:乳霜 | 肤质:未标 | 妆效:未标 | 遮瑕:未标 | 色号:未标]；Wanderlust Powder Foundation Light Med（B07MX218RF）[质地:粉状 | 肤质:未标 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:白皙;自然]",3.0,3.0,5.0
15,I'm a student on a tight budget — what's the cheapest foundation under $10 that still has good coverage?,我是学生，预算很紧——$10以内还有不错遮瑕的粉底有什么？,预算,medium,性价比;遮盖力,低分题（P/E=3）——同上，预算类 gold 是否合理,Revlon Colorstay Liquid Foundation Mak（B014GJH4PE）[质地:液体 | 肤质:混合肌;混油 | 妆效:未标 | 遮瑕:中度遮瑕 | 色号:白皙],NYX PROFESSIONAL MAKEUP Stay Matte but（B009WI1UKA）[质地:液体 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然]；Maybelline New York Dream Velvet Soft （B019ZD7I52）[质地:未标 | 肤质:敏感肌 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然],LA MER The Soft Fluid Long Wear Founda（B01M4QSJJC）[质地:粉状 | 肤质:全肤质 | 妆效:自然 | 遮瑕:轻遮瑕 | 色号:白皙;自然;冷调]；Dermacol Make-up Cover - Waterproof Hy（B077W2RCN7）[质地:乳霜 | 肤质:敏感肌 | 妆效:缎面 | 遮瑕:高遮瑕 | 色号:未标]；Wanderlust Powder Foundation Light Med（B07MX218RF）[质地:粉状 | 肤质:未标 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:白皙;自然]；Estee Lauder Double Wear Stay-in-Place（B0BB9HNWT7）[质地:粉状 | 肤质:中性;油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙;自然],3.0,3.0,4.0
17,"I have Lupus, so I have been through my fair share of full coverage foundations, trying to find the right coverage, the right shade, and a product that can last all day without numerous applications throughout the course of my day...This Wanderlust Powder Foundation is it for me!",我患狼疮，用过很多高遮瑕粉底，想找遮瑕、色号都对，还能一整天不用反复补的。,持妆,complex,遮盖力;持妆;色号;质地,低分题（E=3）——持妆类 gold 是否合理,Wanderlust Powder Foundation Light Med（B07MX218RF）[质地:粉状 | 肤质:未标 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:白皙;自然],Mirenesse Skin Clone Mineral Powder Fo（B00LTFW9XQ）[质地:粉状 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:未标]；Mary Kay Mineral Powder Foundation 0.2（B07BD4QNJ5）[质地:粉状 | 肤质:敏感肌 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙],Femme Couture Get Flawless Light 8 in （B00I6JM2ZS）[质地:乳霜 | 肤质:未标 | 妆效:未标 | 遮瑕:轻遮瑕 | 色号:白皙]；Myconos Magic BB CC Moist Air Cushion （B019BCAMT6）[质地:乳霜 | 肤质:未标 | 妆效:光泽 | 遮瑕:未标 | 色号:未标],5.0,3.0,4.0
20,My combination skin gets dry in winter and oily in summer. I want one foundation that works year-round without switching.,我混合肌，冬天干夏天油。想要一款全年通用、不用换的。,硬约束,medium,肤质;全年通用,避雷泄漏（负例进 top-3）——确认 negative 是否真该避,Boots No7 Stay Perfect Foundation (Lat（B01B8BR0KC）[质地:乳霜 | 肤质:干皮;油皮 | 妆效:未标 | 遮瑕:中度遮瑕 | 色号:未标],Revlon Colorstay Liquid Foundation Mak（B014GJH4PE）[质地:液体 | 肤质:混合肌;混油 | 妆效:未标 | 遮瑕:中度遮瑕 | 色号:白皙]；BOOTS No7 Beautifully Matte Foundation（B079M2PLKM）[质地:乳霜 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙],Mary Kay Timewise Luminous Foundation~（B00FTY5DXG）[质地:乳霜 | 肤质:中性;干皮 | 妆效:光泽 | 遮瑕:中度遮瑕 | 色号:白皙]；(3 Pack) RIMMEL LONDON Stay Matte Liqu（B00J1OIDZ0）[质地:液体 | 肤质:油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然]；CLIO Big Aurora Glow Cushion (003 LINE（B07MGWMT9X）[质地:气垫 | 肤质:未标 | 妆效:光泽 | 遮瑕:未标 | 色号:未标]；Estee Lauder Double Wear Stay-in-Place（B0BB9HNWT7）[质地:粉状 | 肤质:中性;油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙;自然],4.0,4.0,5.0
25,"Going on a seaside honeymoon — I'll be by the ocean all day, need a foundation that won't wash away when I get splashed.",去海边度蜜月，一整天都在海边，需要一款被水溅到也不会被冲掉的粉底。,隐式意图,hard,防晒;防水持妆,"hidden 首答 miss（防晒防水,hard）——LLM 兜底救回，确认 gold",Sweat Cosmetics Foundation Powder Jar （B07S4298B7）[质地:粉状 | 肤质:敏感肌 | 妆效:自然 | 遮瑕:未标 | 色号:白皙],Tarte Rainforest of the Sea Water Foun（B071HYBZM4）[质地:乳霜 | 肤质:未标 | 妆效:光泽 | 遮瑕:轻遮瑕 | 色号:白皙;橄榄]；Dermacol Make-up Cover - Waterproof Hy（B077W2RCN7）[质地:乳霜 | 肤质:敏感肌 | 妆效:缎面 | 遮瑕:高遮瑕 | 色号:未标],BOOTS No7 Beautifully Matte Foundation（B079M2PLKM）[质地:乳霜 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙],,,
28,By 3pm my skin feels like cardboard and my foundation looks like a cracked riverbed.,到下午三点皮肤紧绷像纸板，粉底看着像干裂的河床。,隐式意图,medium,干皮保湿,hidden 干皮保湿——规则模式反而命中（异常），确认 gold,Mary Kay Timewise Luminous Foundation~（B00FTY5DXG）[质地:乳霜 | 肤质:中性;干皮 | 妆效:光泽 | 遮瑕:中度遮瑕 | 色号:白皙],Boots No7 Stay Perfect Foundation (Lat（B01B8BR0KC）[质地:乳霜 | 肤质:干皮;油皮 | 妆效:未标 | 遮瑕:中度遮瑕 | 色号:未标],(3 Pack) RIMMEL LONDON Stay Matte Liqu（B00J1OIDZ0）[质地:液体 | 肤质:油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然],,,
31,"I'm in my fifties, fine lines around my eyes — foundation always settles into the creases.",五十多岁，眼周有细纹，粉底总是卡进纹路里。,隐式意图,medium,熟龄肌,hidden 熟龄肌——降级演示题，确认 gold 没错、是库没标签,Boots No7 Stay Perfect Foundation (Lat（B01B8BR0KC）[质地:乳霜 | 肤质:干皮;油皮 | 妆效:未标 | 遮瑕:中度遮瑕 | 色号:未标],Mary Kay Timewise Luminous Foundation~（B00FTY5DXG）[质地:乳霜 | 肤质:中性;干皮 | 妆效:光泽 | 遮瑕:中度遮瑕 | 色号:白皙],BOOTS No7 Beautifully Matte Foundation（B079M2PLKM）[质地:乳霜 | 肤质:全肤质 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:白皙],,,
33,"By the end of my morning meetings, my whole face turns slick as a tabletop.",早上的会开完，整张脸就油得像桌面一样。,隐式意图,medium,油皮控油;哑光妆效,hidden 油皮控油+哑光——LLM 救回代表，确认 gold,New Item REVLON COLORSTAY FOUNDATION 1（B0BFHBVJHN）[质地:液体 | 肤质:油皮 | 妆效:哑光 | 遮瑕:未标 | 色号:自然],(3 Pack) RIMMEL LONDON Stay Matte Liqu（B00J1OIDZ0）[质地:液体 | 肤质:油皮 | 妆效:哑光 | 遮瑕:中度遮瑕 | 色号:自然]；CITY COLOR COSMETICS Photo Chic Liquid（B06Y1LZY7W）[质地:未标 | 肤质:混合肌;混油 | 妆效:哑光 | 遮瑕:高遮瑕 | 色号:自然],Mary Kay Timewise Luminous Foundation~（B00FTY5DXG）[质地:乳霜 | 肤质:中性;干皮 | 妆效:光泽 | 遮瑕:中度遮瑕 | 色号:白皙],,,
